date,airt,f.airt,airtmax,f.airtmax,airtmin,f.airtmin,airtmmx,f.airtmmx,airtmmn,f.airtmmn,prec,f.prec,slrt,f.slrt,part,f.part,netr,f.netr,wspd,f.wspd,wres,f.wres,wdir,f.wdir,gspd,f.gspd,s10t,f.s10t
2001-03,30.0,,39.0,,22.0,,54.3,,9.0,,6.68,,12.3,,NA,M,NA,M,4.8,1,1.0,1,328,1,42.7,1,NA,M
2001-04,44.5,,56.7,,32.3,,84.6,,19.9,,1.24,,19.5,,NA,M,NA,M,4.0,1,0.9,1,300,1,36.0,1,NA,M
2001-05,56.9,,68.3,,45.9,,87.6,,29.1,,1.94,,20.4,,NA,M,NA,M,3.5,,0.2,,60,,29.1,,NA,M
2001-06,66.2,,77.3,,56.0,,87.3,,38.1,,6.02,,21.8,,NA,M,NA,M,2.7,,0.5,,204,,23.5,,70.1,
2001-07,65.4,,77.0,,54.8,,90.9,,45.5,,2.77,,23.7,,NA,M,NA,M,2.7,,0.7,,238,,23.7,,71.3,
2001-08,70.2,,81.1,,61.1,,92.5,,53.1,,2.09,,19.3,,NA,M,NA,M,2.6,,0.8,,191,,23.7,,73.3,
2001-09,59.9,,70.8,,49.8,,82.8,,36.7,,4.51,,16.6,,NA,M,NA,M,3.0,,0.6,,155,,25.5,,66.1,
2001-10,50.6,,61.6,,40.7,,76.3,,25.5,,0.81,,11.9,,NA,M,NA,M,3.6,,1.2,,223,,39.8,,54.5,
2001-11,42.7,,52.0,,33.5,,66.9,,20.5,,1.08,,7.2,,NA,M,NA,M,3.9,,1.3,,227,,30.9,,44.6,
2001-12,33.5,,41.1,,26.3,,67.8,,12.7,,2.55,,5.7,,NA,M,NA,M,3.7,,1.6,,262,,28.2,,38.5,
2002-01,30.2,,37.5,,23.5,,54.3,,10.4,,2.07,,5.2,,NA,M,NA,M,4.0,,2.3,,255,,36.2,,31.9,
2002-02,30.2,,40.5,,20.5,,59.9,,6.4,,2.21,,9.3,,NA,M,NA,M,4.5,1,2.1,1,244,1,40.5,,32.0,
2002-03,34.5,,44.1,,25.5,,64.9,,8.8,,3.34,,12.0,,NA,M,NA,M,5.0,,1.2,,237,,39.6,,36.9,
2002-04,46.2,,57.4,,35.9,,90.1,,19.2,,3.88,,15.8,,NA,M,NA,M,4.5,1,1.2,1,229,1,36.0,1,49.4,
2002-05,52.6,,63.9,,42.1,,80.2,,28.8,,4.85,,19.6,,NA,M,NA,M,4.1,,1.5,,239,,46.5,,54.0,
2002-06,62.2,,73.5,,51.6,,88.3,,39.7,,4.54,,20.3,,NA,M,NA,M,3.2,,0.6,,183,,32.4,,65.3,
2002-07,69.4,,80.3,,59.5,,92.5,,47.8,,2.62,,22.3,,NA,M,NA,M,2.8,,0.6,,228,,36.5,,72.6,
2002-08,68.8,,80.7,,59.1,,92.7,,46.0,,4.63,,20.4,,NA,M,NA,M,2.6,,0.1,,84,,28.4,,72.7,
2002-09,62.8,,74.2,,53.2,,90.1,,39.2,,3.43,,15.4,,NA,M,NA,M,3.0,,0.5,,211,,34.2,,66.6,
2002-10,45.7,,55.0,,37.7,,79.7,,22.6,,2.93,,9.5,1,NA,M,NA,M,3.4,1,0.5,1,91,1,37.1,1,54.2,
2002-11,36.3,,43.4,,29.6,,64.9,,7.5,,5.03,,5.5,,NA,M,NA,M,4.1,,1.1,,244,,32.7,,42.8,
2002-12,26.5,,34.4,,19.3,,54.9,,0.7,,4.21,,5.6,,NA,M,NA,M,4.3,,1.8,,272,,36.9,,36.3,
2003-01,16.2,,24.3,,8.1,,37.4,,-9.8,,3.19,,6.6,,NA,M,NA,M,4.0,3,2.5,3,276,3,35.3,3,34.7,
2003-02,20.4,,29.1,,11.5,,52.9,,-7.4,,3.23,,9.1,,NA,M,NA,M,4.5,,1.9,,276,,42.5,,33.8,
2003-03,33.4,,44.9,,22.4,,69.3,,-5.3,,4.04,,13.3,,NA,M,NA,M,4.4,,2.0,,241,,39.8,,36.2,
2003-04,41.3,,51.8,,31.2,,79.7,,17.6,,3.79,,15.2,,NA,M,NA,M,4.3,2,0.5,2,95,2,29.3,2,43.3,
2003-05,52.7,,63.2,,43.3,,80.2,,33.6,,5.70,,15.6,,NA,M,NA,M,3.7,,0.9,,98,,30.0,,54.8,
2003-06,62.9,,73.0,,53.9,,91.9,,39.7,,6.00,,18.1,,NA,M,NA,M,2.7,,0.1,,174,,23.9,,64.4,
2003-07,69.1,,79.4,,60.0,,87.4,,53.4,,1.43,,21.3,,NA,M,NA,M,2.8,,1.1,,208,,28.6,,71.4,
2003-08,68.9,,79.0,,60.9,,86.2,,44.8,,3.88,,16.4,,NA,M,NA,M,2.6,,0.8,,199,,25.3,,72.6,
2003-09,60.4,,70.2,,51.7,,79.2,,41.2,,5.48,,13.1,,NA,M,NA,M,3.0,,1.3,,107,,27.3,,65.4,
2003-10,46.6,,56.8,,37.9,,76.1,,26.6,,5.63,,9.6,,NA,M,NA,M,3.5,,0.9,,217,,43.0,,52.7,
2003-11,40.1,,50.4,,32.4,,70.5,,16.2,,3.15,,6.2,1,NA,M,NA,M,4.4,,1.3,,254,,41.8,,42.8,4
2003-12,29.3,,37.4,,21.5,,54.0,,8.1,,6.06,,4.7,1,9.9,3,-14.8,3,5.1,1,1.8,1,261,1,39.6,1,33.5,
2004-01,13.3,,21.2,,5.1,,44.2,,-14.1,,1.17,,6.4,,13.4,,-24.3,,4.8,,3.5,,277,,38.9,,32.2,
2004-02,25.4,,35.2,,16.3,,50.5,,0.9,,1.43,,10.5,,21.9,,-12.7,,4.3,2,2.4,2,288,2,34.9,2,31.8,
2004-03,34.3,,43.7,,26.1,,69.3,,11.1,,3.26,,11.7,,24.6,,30.8,,4.7,,0.9,,234,,32.2,,34.3,
2004-04,45.2,,56.6,,34.9,,84.2,,22.3,,6.05,,15.4,,32.4,,75.0,,5.0,,0.6,,269,,39.1,,46.8,
2004-05,56.8,,69.2,,45.8,,85.6,,30.7,,4.51,,19.0,,38.8,,106.3,,3.8,,1.0,,200,,32.9,,59.8,
2004-06,62.0,,73.2,,51.4,,87.8,,42.8,,2.75,,21.6,,43.4,,124.5,,3.0,,0.6,,231,,30.0,,65.3,
2004-07,67.2,,77.0,,58.7,,84.2,,51.8,,4.98,,18.7,,38.1,,111.6,,2.8,,0.7,,163,,24.2,,70.5,
2004-08,66.8,,77.0,,58.5,,86.0,,47.7,,3.43,,17.9,,37.0,,104.9,,2.7,,1.0,,203,,22.8,,70.7,
2004-09,60.8,,71.6,,51.4,,81.1,,39.7,,8.41,,14.8,,30.9,,73.4,,2.6,,0.2,,118,,31.8,,65.9,
2004-10,48.0,,57.4,,40.3,,73.6,,30.0,,2.43,,10.0,,20.9,,33.3,,3.1,,0.1,,353,,25.3,,55.1,
2004-11,38.6,,47.7,,29.6,,63.1,,15.1,,3.48,,6.8,,14.2,,5.3,,3.9,,1.3,,250,,44.5,,44.8,
2004-12,27.6,,34.8,,19.6,,56.3,,-7.6,,3.89,,4.4,,9.1,,-11.4,,4.6,1,1.4,1,247,1,46.3,1,36.3,
2005-01,20.0,,28.1,,11.6,,57.2,,-12.8,,4.39,,5.9,,12.0,,-16.2,,3.8,4,1.2,4,311,4,31.8,4,33.9,
2005-02,27.2,,37.0,,17.9,,54.1,,3.2,,2.55,,9.3,,19.2,,-13.3,,3.8,,0.7,,317,,35.6,,33.5,
2005-03,29.7,,39.6,,20.2,,62.1,,0.5,,4.72,,13.3,,27.2,,1.5,,4.2,,1.5,,283,,38.9,,33.1,
2005-04,47.4,,59.9,,35.6,,81.5,,25.2,,5.67,,17.9,,36.7,,84.7,,4.6,,0.3,,166,,31.8,,46.3,
2005-05,49.8,,59.8,,40.3,,77.7,,29.3,,3.58,,15.9,,32.9,,83.0,,3.4,,0.9,,36,,35.3,,52.7,
2005-06,66.7,,78.3,,56.9,,90.7,,45.5,,5.52,,19.0,,39.4,,118.0,,2.6,,0.8,,190,,31.3,,66.9,
2005-07,69.2,,79.8,,60.6,,88.7,,52.3,,4.85,,18.7,,36.0,,120.2,,2.7,,0.5,,163,,24.6,,71.9,3
2005-08,69.6,,80.2,,61.0,,87.6,,51.6,,3.42,,16.9,,33.8,,103.1,,2.6,,0.7,,177,,31.3,,72.7,
2005-09,62.8,,74.2,,52.8,,86.2,,38.3,,2.42,,15.0,,29.4,,73.7,,2.7,,0.6,,215,,38.9,,67.0,
2005-10,49.4,,57.0,,42.7,,76.3,,28.2,,11.70,,7.0,1,12.5,1,20.8,1,3.7,1,0.5,1,47,1,39.8,1,55.9,
